,0
"('lose', 'wipro', 'bb', 'mdc')",1
"('configure', 'management', 'port', 'share')",1
"('help', 'user', 'synchronize', 'password')",2
"('find', 'require', 'port', 'opening')",1
"('segment', 'bat', 'ss', 'cdc')",1
"('dchauhan', 'da', 'issue', 'direct')",1
"('add', 'domaincreat', 'user', 'profile')",1
"('access', 'new', 'destination', 'ip')",1
"('uk', 'kindly', 'enable', 'confirm')",1
"('class', 'pdc', 'ps', 'mb')",1
"('practice', 'training', 'material', 'need')",1
"('vpn', 'connectivity', 'destination', 'source')",1
"('manual', 'backup', 'mention', 'device')",7
"('not', 'work', 'ist', 'pm')",1
"('update', 'manila', 'request', 'ip')",1
"('display', 'self', 'look', 'asap')",1
"('transfer', 'ticket', 'noc', 'proxy')",1
"('check', 'ip', 'clash', 'wt')",1
"('mail', '-PRON-', 'would', 'loop')",1
"('follow', 'mac', 'address', 'vlan')",1
"('priority', 'work', 'not', 'try')",1
"('not', 'able', 'access', 'crenditial')",1
"('connected', 'network', 'face', 'issue')",1
"('pdc', 'primary', 'secondary', 'packet')",1
"('need', 'add', 'new', 'matching')",1
"('mac', 'bind', 'sjp', 'charle')",2
"('not', 'appear', 'internet', 'explorer')",1
"('connect', 'backup', 'password', 'reset')",1
"('card', 'not', 'detect', 'laptop')",1
"('floor', 'wing', 'switch', 'coimbatore')",1
"('product', 'key', 'wipro', 'laptop')",1
"('user', 'need', 'tranfer', 'manikonda')",1
"('access', 'crenditial', 'wifi', 'direct')",1
"('management', 'port', 'share', 'perform')",1
"('ec', 'internet', 'link', 'traffic')",1
"('destination', 'ip', 'address', 'need')",1
"('broadcast', 'cdc', 'vtp', 'switch')",1
"('sarkar', 'sjp', 'block', 'do')",1
"('sftp', 'requestno', 'ftp', 'access')",1
"('client', 'need', 'install', 'software')",1
"('teamuser', 'able', 'connect', 'vpn')",1
"('tedwebk', 'ip', 'address', 'physical')",1
"('come', 'escalate', 'client', 'meeting')",1
"('active', 'nw', 'port', 'abs')",1
"('kindly', 'share', 'bandwidth', 'utilization')",1
"('mts', 'data', 'card', 'not')",1
"('vm', 'server', 'sl', 'vmid')",1
"('remove', 'tape', 'frpm', 'td')",1
"('create', 'mb', 'bandwidth', 'class')",1
"('plus', 'product', 'key', 'wipro')",1
"('need', 'configure', 'vlan', 'port')",1
"('need', 'activate', 'ms', 'office')",21
"('violate', 'transfer', 'close', 'bin')",1
"('cmf', 'sit', 'request', 'check')",1
"('access', 'customer', 'application', 'remotely')",1
"('cpu', 'utilization', 'mention', 'device')",1
"('bit', 'bit', 'need', 'share')",1
"('host', 'mbam', 'group', 'asset')",9
"('laptop', 'need', 'access', 'wipro')",1
"('keyboardtouch', 'pad', 'not', 'work')",2
"('location', 'tower', 'st', 'floor')",1
"('ec', 'communication', 'room', 'access')",1
"('riyadh', 'khobar', 'jeddah', 'location')",1
"('secondary', 'airtel', 'link', 'kindly')",1
"('park', 'th', 'floor', 'wing')",1
"('dhcp', 'access', 'require', 'irmc')",1
"('backup', 'core', 'device', 'sjp')",1
"('ad', 'password', 'expiration', 'reminder')",1
"('help', 'user', 'provide', 'user')",1
"('adaptor', 'lose', 'want', 'replacement')",1
"('day', 'can', 'not', 'access')",1
"('eseth', 'password', 'issue', 'otp')",1
"('need', 'state', 'bw', 'utilization')",1
"('wipro', 'network', 'not', 'able')",1
"('samuel', 'johnsona', 'uk', 'kindly')",1
"('mac', 'bind', 'charle', 'schwab')",2
"('ip', 'address', 'port', 'enable')",1
"('outlook', 'not', 'connect', 'server')",1
"('increase', 'bw', 'hca', 'mb')",1
"('laptop', 'rebuild', 'stop', 'work')",1
"('isd', 'call', 'not', 'connect')",1
"('penney', 'router', 'not', 'able')",1
"('bw', 'netsuite', 'mb', 'mb')",1
"('single', 'homed', 'link', 'mar')",1
"('dlp', 'port', 'need', 'enable')",1
"('ne', 'add', 'mention', 'device')",1
"('fme', 'check', 'not', 'enable')",1
"('location', 'currently', 'panasonic', 'germany')",1
"('address', 'physical', 'location', 'ec')",1
"('give', 'hard', 'disk', 'dilip')",1
"('network', 'not', 'work', 'window')",1
"('explorer', 'can', 'not', 'display')",1
"('issue', 'get', 'alert', 'find')",1
"('ne', 'add', 'mention', 'domain')",1
"('change', 'vlan', 'mention', 'ip')",1
"('system', 'login', 'page', 'not')",1
"('manila', 'request', 'ip', 'segment')",1
"('monthly', 'capacity', 'dashboard', 'feb')",1
"('route', 'wbpo', 'ip', 'segment')",1
"('ip', 'address', 'need', 'add')",1
"('require', 'segment', 'check', 'share')",1
"('fw', 'critical', 'alarm', 'occur')",2
"('help', 'user', 'troubleshoot', 'frequent')",10
"('wipro', 'sap', 'project', 'cdc')",1
"('ec', 'sec', 'packetshaper', 'shaping')",1
"('need', 'add', 'reverse', 'route')",1
"('vlan', 'port', 'follow', 'mac')",1
"('not', 'work', 'monday', 'night')",1
"('path', 'sccm', 'server', 'ecsccmfep')",1
"('traffic', 'shift', 'primary', 'seconday')",1
"('kindly', 'enable', '-PRON-', 'would')",1
"('high', 'latency', 'destinationpdc', 'raise')",1
"('project', 'bb', 'requirement', 'ne')",2
"('citrix', 'isa', 'client', 'not')",1
"('intermittent', 'alert', 'sarjapur', 'location')",1
"('ip', 'belong', 'wcclg', 'project')",1
"('huge', 'firewall', 'deny', 'traffic')",2
"('tcp', 'nat', 'ip', 'dm')",2
"('internet', 'explorer', 'not', 'work')",2
"('daily', 'pm', 'checklist', 'wt')",16
"('ip', 'address', 'assign', 'raise')",1
"('create', 'new', 'class', 'schneider')",1
"('internet', 'problem', 'blue', 'coat')",1
"('work', 'campbell', 'odc', 'kindly')",1
"('traffic', 'internal', 'source', 'multiple')",2
"('resolve', 'frequent', 'account', 'lockout')",1
"('laptop', 'host', 'mbam', 'group')",10
"('jc', 'penney', 'router', 'not')",1
"('frequent', 'ad', 'account', 'lockout')",1
"('need', 'os', 'installation', 'configuration')",2
"('dhcp', 'scope', 'detail', 'prepare')",1
"('ectbcl', 'device', 'not', 'reachable')",1
"('not', 'access', 'wipro', 'mail')",1
"('let', 'know', 'mention', 'ip')",1
"('generate', 'user', 'machine', 'xsbcdabrvcmq')",1
"('ps', 'mb', 'bwcmr', 'raise')",1
"('state', 'manager', 'approve', 'request')",1
